id,Subject,Course,Component,Section,Days,StartTime,EndTime,StartDate,EndDate,Duration,InstructionMode,Building,Room,Instructor,EnrollCap,WaitCap,CombDesc,CombEnrollCap,CourseName,StartTimeInternal,,
86,CSE,526,LEC,1,MF,1:00 PM,2:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Yanhong Liu,100,10, , ,Princ Of Programming Languages,13,,
87,CSE,527,LEC,1,MW,7:00 PM,8:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Haibin Ling,120,0, , ,Introduction to Computer Vision,19,,
88,CSE,532,LEC,1,TUTH,5:30 PM,6:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Michael Kifer,150,34, , ,Theory of Database Systems,17.5,,
89,CSE,540,LEC,1,TUTH,2:30 PM,3:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Omkant Pandey,150,0, , ,Theory of Computation,14.5,,
90,CSE,541,LEC,1,TUTH,4:00 PM,5:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Anita Wasilewska,120,15, , ,Logic in Computer Science,16,,
91,CSE,544,LEC,1,TUTH,1:00 PM,2:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Anshul Gandhi,100,0, , ,Probability & Statistics for Data Science,13,,
92,CSE,545,LEC,1,TUTH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Hansen Schwartz,150,28, , ,Big Data Analytics,11.5,,
93,CSE,548,LEC,1,MW,4:00 PM,5:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Rezaul Chowdhury,180,0,CSE548.01/AMS542.01,180,Analysis of Algorithm,16,,
94,CSE,550,SEM,S01,TU,10:31 AM,11:30 AM,25-Jan-21,19-May-21,59,In Person,TBA,120,Predrag Krstic,20,0,DCS501.R01/ESE523.R01/CSE550.S,20,Quantum Computing and Applications,10.6,,
95,CSE,550,LEC,1,TU,9:30 AM,10:30 AM,25-Jan-21,19-May-21,60,In Person,TBA,120,Predrag Krstic,20,0,DCS501.01/ESE523.01/CSE550.01,20,Quantum Computing and Applications,9.5,,
96,CSE,555,LEC,1,TUTH,10:00 AM,11:20 AM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Joseph Mitchell,60,0,AMS545.01/CSE555.01,60,Computational Geometry,10,,
97,CSE,564,LEC,1,TUTH,7:00 PM,8:20 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Klaus Mueller,250,6, , ,Visualization,19,,
98,CSE,566,LEC,1,W,2:30 PM,5:20 PM,25-Jan-21,19-May-21,170,In Person,TBA,220,Arie Kaufman,30,0, , ,Virtual Reality,14.5,,
99,CSE,600,SEM,S01,F,2:30 PM,3:30 PM,25-Jan-21,19-May-21,60,In Person,TBA,120,Samir Das,80,10, , ,Topics in Modern Computer Science,14.5,,
100,CSE,645,SEM,S01,TH,11:30 AM,12:50 PM,25-Jan-21,19-May-21,80,In Person,TBA,TBA,Paul Fodor; Michael Kifer; C Ramakrishnan; Yanhong Liu,30,0, , ,Languages,11.5,,
